Category,Category2,Description,Order in Series,Incremental Percent of Population,Cumulative Percent of Population,Resource Level of this Segment,Units,Resource Level as Percent of Max,Segment Area = Resource Level * Segment Size ,Cumulative Resource Level,Cumulative Percent of Resource,Cumulative Percent of Resource IF EQUALLY DISTRIBUTED,Area under Lorenz Curve,Gini Coefficient,Color
Financial,Income,Income (Global 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.68,gold
Financial,Income,Income (Global 2021 USD),2,0.1000,0.1000,750.0000,US dollars,0.0008,75.00,75.00,0.0034,0.1000,0.00017,0.68,gold
Financial,Income,Income (Global 2021 USD),3,0.0500,0.1500,1500.0000,US dollars,0.0015,75.00,150.00,0.0068,0.1500,0.00025,0.68,gold
Financial,Income,Income (Global 2021 USD),4,0.0500,0.2000,2200.0000,US dollars,0.0022,110.00,260.00,0.0118,0.2000,0.00046,0.68,gold
Financial,Income,Income (Global 2021 USD),5,0.1000,0.3000,3300.0000,US dollars,0.0033,330.00,590.00,0.0267,0.3000,0.00193,0.68,gold
Financial,Income,Income (Global 2021 USD),6,0.1000,0.4000,4800.0000,US dollars,0.0048,480.00,"1,070.00",0.0485,0.4000,0.00376,0.68,gold
Financial,Income,Income (Global 2021 USD),7,0.1000,0.5000,6700.0000,US dollars,0.0067,670.00,"1,740.00",0.0789,0.5000,0.00637,0.68,gold
Financial,Income,Income (Global 2021 USD),8,0.1000,0.6000,9500.0000,US dollars,0.0095,950.00,"2,690.00",0.1219,0.6000,0.01004,0.68,gold
Financial,Income,Income (Global 2021 USD),9,0.1000,0.7000,14000.0000,US dollars,0.0140,"1,400.00","4,090.00",0.1854,0.7000,0.01537,0.68,gold
Financial,Income,Income (Global 2021 USD),10,0.1000,0.8000,22500.0000,US dollars,0.0225,"2,250.00","6,340.00",0.2874,0.8000,0.02364,0.68,gold
Financial,Income,Income (Global 2021 USD),11,0.1000,0.9000,37000.0000,US dollars,0.0370,"3,700.00","10,040.00",0.4551,0.9000,0.03713,0.68,gold
Financial,Income,Income (Global 2021 USD),12,0.0500,0.9500,57000.0000,US dollars,0.0570,"2,850.00","12,890.00",0.5843,0.9500,0.02599,0.68,gold
Financial,Income,Income (Global 2021 USD),13,0.0400,0.9900,130000.0000,US dollars,0.1300,"5,200.00","18,090.00",0.8200,0.9900,0.02809,0.68,gold
Financial,Income,Income (Global 2021 USD),14,0.0090,0.9990,330000.0000,US dollars,0.3300,"2,970.00","21,060.00",0.9547,0.9990,0.00799,0.68,gold
Financial,Income,Income (Global 2021 USD),15,0.0010,1.0000,1000000.0000,US dollars,1.0000,"1,000.00","22,060.00",1.0000,1.0000,0.00098,0.68,gold
Financial,Income,Income (United States 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.55,gold
Financial,Income,Income (United States 2021 USD),2,0.1000,0.1000,4000.0000,US dollars,0.0040,400.00,400.00,0.0066,0.1000,0.00033,0.55,gold
Financial,Income,Income (United States 2021 USD),3,0.0500,0.1500,8000.0000,US dollars,0.0080,400.00,800.00,0.0132,0.1500,0.00049,0.55,gold
Financial,Income,Income (United States 2021 USD),4,0.0500,0.2000,12000.0000,US dollars,0.0120,600.00,"1,400.00",0.0230,0.2000,0.00090,0.55,gold
Financial,Income,Income (United States 2021 USD),5,0.1000,0.3000,18000.0000,US dollars,0.0180,"1,800.00","3,200.00",0.0526,0.3000,0.00378,0.55,gold
Financial,Income,Income (United States 2021 USD),6,0.1000,0.4000,24000.0000,US dollars,0.0240,"2,400.00","5,600.00",0.0921,0.4000,0.00724,0.55,gold
Financial,Income,Income (United States 2021 USD),7,0.1000,0.5000,31000.0000,US dollars,0.0310,"3,100.00","8,700.00",0.1431,0.5000,0.01176,0.55,gold
Financial,Income,Income (United States 2021 USD),8,0.1000,0.6000,40000.0000,US dollars,0.0400,"4,000.00","12,700.00",0.2089,0.6000,0.01760,0.55,gold
Financial,Income,Income (United States 2021 USD),9,0.1000,0.7000,51000.0000,US dollars,0.0510,"5,100.00","17,800.00",0.2928,0.7000,0.02508,0.55,gold
Financial,Income,Income (United States 2021 USD),10,0.1000,0.8000,68000.0000,US dollars,0.0680,"6,800.00","24,600.00",0.4046,0.8000,0.03487,0.55,gold
Financial,Income,Income (United States 2021 USD),11,0.1000,0.9000,100000.0000,US dollars,0.1000,"10,000.00","34,600.00",0.5691,0.9000,0.04868,0.55,gold
Financial,Income,Income (United States 2021 USD),12,0.0500,0.9500,150000.0000,US dollars,0.1500,"7,500.00","42,100.00",0.6924,0.9500,0.03154,0.55,gold
Financial,Income,Income (United States 2021 USD),13,0.0400,0.9900,330000.0000,US dollars,0.3300,"13,200.00","55,300.00",0.9095,0.9900,0.03204,0.55,gold
Financial,Income,Income (United States 2021 USD),14,0.0090,0.9990,500000.0000,US dollars,0.5000,"4,500.00","59,800.00",0.9836,0.9990,0.00852,0.55,gold
Financial,Income,Income (United States 2021 USD),15,0.0010,1.0000,1000000.0000,US dollars,1.0000,"1,000.00","60,800.00",1.0000,1.0000,0.00099,0.55,gold
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",2,0.1000,0.1000,19427.0833,US dollars,0.0720,"1,942.71","1,942.71",0.0246,0.1000,0.00123,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",3,0.1000,0.2000,33026.0417,US dollars,0.1223,"3,302.60","5,245.31",0.0665,0.2000,0.00456,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",4,0.3000,0.5000,46625.0000,US dollars,0.1727,"13,987.50","19,232.81",0.2439,0.5000,0.04655,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",5,0.3000,0.8000,74600.0000,US dollars,0.2763,"22,380.00","41,612.81",0.5276,0.8000,0.11572,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",6,0.1000,0.9000,102575.0000,US dollars,0.3799,"10,257.50","51,870.31",0.6577,0.9000,0.05926,0.38,red
Financial,Income,"Income (United States, After Taxes & Transfers 2021 USD)",7,0.1000,1.0000,270000.0000,US dollars,1.0000,"27,000.00","78,870.31",1.0000,1.0000,0.08288,0.38,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",2,0.1000,0.1000,22803.4211,US dollars,0.1520,"2,280.34","2,280.34",0.0390,0.1000,0.00195,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",3,0.1000,0.2000,33064.9605,US dollars,0.2204,"3,306.50","5,586.84",0.0955,0.2000,0.00672,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",4,0.3000,0.5000,43326.5000,US dollars,0.2888,"12,997.95","18,584.79",0.3177,0.5000,0.06198,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",5,0.3000,0.8000,58490.7750,US dollars,0.3899,"17,547.23","36,132.02",0.6177,0.8000,0.14031,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",6,0.1000,0.9000,73655.0500,US dollars,0.4910,"7,365.51","43,497.53",0.7436,0.9000,0.06806,0.27,red
Financial,Income,"Income (Norway, After Taxes & Transfers 2021 USD)",7,0.1000,1.0000,150000.0000,US dollars,1.0000,"15,000.00","58,497.53",1.0000,1.0000,0.08718,0.27,red
Financial,Income,Income (Germany 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.47,gold
Financial,Income,Income (Germany 2021 USD),2,0.1000,0.1000,4800.0000,US dollars,0.0096,480.00,480.00,0.0106,0.1000,0.00053,0.47,gold
Financial,Income,Income (Germany 2021 USD),3,0.0500,0.1500,9500.0000,US dollars,0.0190,475.00,955.00,0.0211,0.1500,0.00079,0.47,gold
Financial,Income,Income (Germany 2021 USD),4,0.0500,0.2000,14500.0000,US dollars,0.0290,725.00,"1,680.00",0.0371,0.2000,0.00145,0.47,gold
Financial,Income,Income (Germany 2021 USD),5,0.1000,0.3000,19500.0000,US dollars,0.0390,"1,950.00","3,630.00",0.0801,0.3000,0.00586,0.47,gold
Financial,Income,Income (Germany 2021 USD),6,0.1000,0.4000,24000.0000,US dollars,0.0480,"2,400.00","6,030.00",0.1330,0.4000,0.01066,0.47,gold
Financial,Income,Income (Germany 2021 USD),7,0.1000,0.5000,29000.0000,US dollars,0.0580,"2,900.00","8,930.00",0.1970,0.5000,0.01650,0.47,gold
Financial,Income,Income (Germany 2021 USD),8,0.1000,0.6000,35000.0000,US dollars,0.0700,"3,500.00","12,430.00",0.2742,0.6000,0.02356,0.47,gold
Financial,Income,Income (Germany 2021 USD),9,0.1000,0.7000,41000.0000,US dollars,0.0820,"4,100.00","16,530.00",0.3647,0.7000,0.03194,0.47,gold
Financial,Income,Income (Germany 2021 USD),10,0.1000,0.8000,51000.0000,US dollars,0.1020,"5,100.00","21,630.00",0.4772,0.8000,0.04209,0.47,gold
Financial,Income,Income (Germany 2021 USD),11,0.1000,0.9000,71000.0000,US dollars,0.1420,"7,100.00","28,730.00",0.6338,0.9000,0.05555,0.47,gold
Financial,Income,Income (Germany 2021 USD),12,0.0500,0.9500,100000.0000,US dollars,0.2000,"5,000.00","33,730.00",0.7441,0.9500,0.03445,0.47,gold
Financial,Income,Income (Germany 2021 USD),13,0.0400,0.9900,210000.0000,US dollars,0.4200,"8,400.00","42,130.00",0.9294,0.9900,0.03347,0.47,gold
Financial,Income,Income (Germany 2021 USD),14,0.0090,0.9990,300000.0000,US dollars,0.6000,"2,700.00","44,830.00",0.9890,0.9990,0.00863,0.47,gold
Financial,Income,Income (Germany 2021 USD),15,0.0010,1.0000,500000.0000,US dollars,1.0000,500.00,"45,330.00",1.0000,1.0000,0.00099,0.47,gold
Financial,Income,Income (Canada 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.51,gold
Financial,Income,Income (Canada 2021 USD),2,0.1000,0.1000,4200.0000,US dollars,0.0056,420.00,420.00,0.0097,0.1000,0.00048,0.51,gold
Financial,Income,Income (Canada 2021 USD),3,0.0500,0.1500,8500.0000,US dollars,0.0113,425.00,845.00,0.0194,0.1500,0.00073,0.51,gold
Financial,Income,Income (Canada 2021 USD),4,0.0500,0.2000,13000.0000,US dollars,0.0173,650.00,"1,495.00",0.0344,0.2000,0.00134,0.51,gold
Financial,Income,Income (Canada 2021 USD),5,0.1000,0.3000,14000.0000,US dollars,0.0187,"1,400.00","2,895.00",0.0666,0.3000,0.00505,0.51,gold
Financial,Income,Income (Canada 2021 USD),6,0.1000,0.4000,18000.0000,US dollars,0.0240,"1,800.00","4,695.00",0.1079,0.4000,0.00873,0.51,gold
Financial,Income,Income (Canada 2021 USD),7,0.1000,0.5000,24000.0000,US dollars,0.0320,"2,400.00","7,095.00",0.1631,0.5000,0.01355,0.51,gold
Financial,Income,Income (Canada 2021 USD),8,0.1000,0.6000,30000.0000,US dollars,0.0400,"3,000.00","10,095.00",0.2321,0.6000,0.01976,0.51,gold
Financial,Income,Income (Canada 2021 USD),9,0.1000,0.7000,39000.0000,US dollars,0.0520,"3,900.00","13,995.00",0.3218,0.7000,0.02769,0.51,gold
Financial,Income,Income (Canada 2021 USD),10,0.1000,0.8000,51000.0000,US dollars,0.0680,"5,100.00","19,095.00",0.4390,0.8000,0.03804,0.51,gold
Financial,Income,Income (Canada 2021 USD),11,0.1000,0.9000,77000.0000,US dollars,0.1027,"7,700.00","26,795.00",0.6160,0.9000,0.05275,0.51,gold
Financial,Income,Income (Canada 2021 USD),12,0.0500,0.9500,105000.0000,US dollars,0.1400,"5,250.00","32,045.00",0.7368,0.9500,0.03382,0.51,gold
Financial,Income,Income (Canada 2021 USD),13,0.0400,0.9900,200000.0000,US dollars,0.2667,"8,000.00","40,045.00",0.9207,0.9900,0.03315,0.51,gold
Financial,Income,Income (Canada 2021 USD),14,0.0090,0.9990,300000.0000,US dollars,0.4000,"2,700.00","42,745.00",0.9828,0.9990,0.00857,0.51,gold
Financial,Income,Income (Canada 2021 USD),15,0.0010,1.0000,750000.0000,US dollars,1.0000,750.00,"43,495.00",1.0000,1.0000,0.00099,0.51,gold
Financial,Wealth,Wealth (Global 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.85,darkorange
Financial,Wealth,Wealth (Global 2021 USD),2,0.5500,0.5500,1428.5714,US dollars,0.0006,785.71,785.71,0.0131,0.5500,0.00362,0.85,darkorange
Financial,Wealth,Wealth (Global 2021 USD),3,0.3280,0.8780,24956.4460,US dollars,0.0100,"8,185.71","8,971.43",0.1501,0.8780,0.02678,0.85,darkorange
Financial,Wealth,Wealth (Global 2021 USD),4,0.1110,0.9890,210939.5109,US dollars,0.0848,"23,414.29","32,385.71",0.5420,0.9890,0.03841,0.85,darkorange
Financial,Wealth,Wealth (Global 2021 USD),5,0.0110,1.0000,2488311.6883,US dollars,1.0000,"27,371.43","59,757.14",1.0000,1.0000,0.00848,0.85,darkorange
Financial,Wealth,Wealth (United States 2019 USD),1,0.0000,0.0000,-554.3244,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.82,darkorange
Financial,Wealth,Wealth (United States 2019 USD),2,0.4000,0.4000,-554.3244,US dollars,0.0000,-221.73,-221.73,-0.0008,0.4000,-0.00016,0.82,darkorange
Financial,Wealth,Wealth (United States 2019 USD),3,0.5000,0.9000,116518.9847,US dollars,0.0104,"58,259.49","58,037.76",0.2094,0.9000,0.05215,0.82,darkorange
Financial,Wealth,Wealth (United States 2019 USD),4,0.0500,0.9500,628049.5225,US dollars,0.0560,"31,402.48","89,440.24",0.3227,0.9500,0.01330,0.82,darkorange
Financial,Wealth,Wealth (United States 2019 USD),5,0.0400,0.9900,1888167.4194,US dollars,0.1683,"75,526.70","164,966.94",0.5952,0.9900,0.01836,0.82,darkorange
Financial,Wealth,Wealth (United States 2019 USD),6,0.0100,1.0000,11219525.4512,US dollars,1.0000,"112,195.25","277,162.19",1.0000,1.0000,0.00798,0.82,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.59,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),2,0.4000,0.4000,16296.1875,US dollars,0.0048,"6,518.48","6,518.48",0.0333,0.4000,0.00666,0.59,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),3,0.5000,0.9000,177310.3500,US dollars,0.0517,"88,655.18","95,173.65",0.4862,0.9000,0.12988,0.59,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),4,0.0500,0.9500,550449.0000,US dollars,0.1605,"27,522.45","122,696.10",0.6268,0.9500,0.02783,0.59,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),5,0.0400,0.9900,968962.5000,US dollars,0.2825,"38,758.50","161,454.60",0.8248,0.9900,0.02903,0.59,darkorange
Financial,Wealth,Wealth (Canada 2019 USD),6,0.0100,1.0000,3429540.0000,US dollars,1.0000,"34,295.40","195,750.00",1.0000,1.0000,0.00912,0.59,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),1,0.0000,0.0000,-9330.8328,US dollars,-0.0032,0.00,0.00,0.0000,0.0000,0.00000,0.67,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),2,0.4000,0.4000,-9330.8328,US dollars,-0.0032,"-3,732.33","-3,732.33",-0.0288,0.4000,-0.00576,0.67,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),3,0.5000,0.9000,127106.6779,US dollars,0.0433,"63,553.34","59,821.01",0.4616,0.9000,0.10820,0.67,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),4,0.0500,0.9500,344722.4340,US dollars,0.1173,"17,236.12","77,057.13",0.5946,0.9500,0.02641,0.67,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),5,0.0400,0.9900,578965.2157,US dollars,0.1971,"23,158.61","100,215.74",0.7733,0.9900,0.02736,0.67,darkorange
Financial,Wealth,Wealth (Norway 2018 USD),6,0.0100,1.0000,2937916.3830,US dollars,1.0000,"29,379.16","129,594.90",1.0000,1.0000,0.00887,0.67,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.52,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),2,0.4000,0.4000,4197.9555,US dollars,0.0127,"1,679.18","1,679.18",0.0450,0.4000,0.00900,0.52,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),3,0.5000,0.9000,40464.5595,US dollars,0.1227,"20,232.28","21,911.46",0.5872,0.9000,0.15805,0.52,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),4,0.0500,0.9500,106870.6182,US dollars,0.3240,"5,343.53","27,254.99",0.7304,0.9500,0.03294,0.52,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),5,0.0400,0.9900,169037.6748,US dollars,0.5124,"6,761.51","34,016.50",0.9116,0.9900,0.03284,0.52,darkorange
Financial,Wealth,Wealth (Greece 2018 USD),6,0.0100,1.0000,329866.0144,US dollars,1.0000,"3,298.66","37,315.16",1.0000,1.0000,0.00956,0.52,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),1,0.0000,0.0000,2936.0100,US dollars,0.0023,0.00,0.00,0.0000,0.0000,0.00000,0.59,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),2,0.4000,0.4000,2936.0100,US dollars,0.0023,"1,174.40","1,174.40",0.0123,0.4000,0.00246,0.59,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),3,0.5000,0.9000,98287.1120,US dollars,0.0778,"49,143.56","50,317.96",0.5270,0.9000,0.13483,0.59,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),4,0.0500,0.9500,275364.3200,US dollars,0.2180,"13,768.22","64,086.18",0.6712,0.9500,0.02996,0.59,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),5,0.0400,0.9900,469045.5000,US dollars,0.3713,"18,761.82","82,848.00",0.8677,0.9900,0.03078,0.59,darkorange
Financial,Wealth,Wealth (Japan 2019 USD),6,0.0100,1.0000,1263200.4000,US dollars,1.0000,"12,632.00","95,480.00",1.0000,1.0000,0.00934,0.59,darkorange
Natural,Height,"Height (cm, global adult males)",1,0.0000,0.0000,76.0000,cm,0.3128,0.00,0.00,0.0000,0.0000,0.00000,0.02,blue
Natural,Height,"Height (cm, global adult males)",2,0.0010,0.0010,141.4000,cm,0.5819,0.14,0.14,0.0008,0.0010,0.00000,0.02,blue
Natural,Height,"Height (cm, global adult males)",3,0.0240,0.0250,163.2000,cm,0.6716,3.92,4.06,0.0223,0.0250,0.00028,0.02,blue
Natural,Height,"Height (cm, global adult males)",4,0.1350,0.1600,170.8000,cm,0.7029,23.06,27.12,0.1487,0.1600,0.01154,0.02,blue
Natural,Height,"Height (cm, global adult males)",5,0.3400,0.5000,178.4000,cm,0.7342,60.66,87.77,0.4814,0.5000,0.10712,0.02,blue
Natural,Height,"Height (cm, global adult males)",6,0.3400,0.8400,186.0000,cm,0.7654,63.24,151.01,0.8282,0.8400,0.22263,0.02,blue
Natural,Height,"Height (cm, global adult males)",7,0.1350,0.9750,193.6000,cm,0.7967,26.14,177.15,0.9716,0.9750,0.12148,0.02,blue
Natural,Height,"Height (cm, global adult males)",8,0.0240,0.9990,205.9500,cm,0.8475,4.94,182.09,0.9987,0.9990,0.02364,0.02,blue
Natural,Height,"Height (cm, global adult males)",9,0.0010,1.0000,243.0000,cm,1.0000,0.24,182.33,1.0000,1.0000,0.00100,0.02,blue
Natural,Height,"Height (cm, global adult females)",1,0.0000,0.0000,76.0000,cm,0.3333,0.00,0.00,0.0000,0.0000,0.00000,0.02,blue
Natural,Height,"Height (cm, global adult females)",2,0.0010,0.0010,131.9500,cm,0.5787,0.13,0.13,0.0008,0.0010,0.00000,0.02,blue
Natural,Height,"Height (cm, global adult females)",3,0.0240,0.0250,150.6000,cm,0.6605,3.61,3.75,0.0222,0.0250,0.00028,0.02,blue
Natural,Height,"Height (cm, global adult females)",4,0.1350,0.1600,157.6000,cm,0.6912,21.28,25.02,0.1486,0.1600,0.01153,0.02,blue
Natural,Height,"Height (cm, global adult females)",5,0.3400,0.5000,164.7000,cm,0.7224,56.00,81.02,0.4811,0.5000,0.10705,0.02,blue
Natural,Height,"Height (cm, global adult females)",6,0.3400,0.8400,171.8000,cm,0.7535,58.41,139.43,0.8280,0.8400,0.22255,0.02,blue
Natural,Height,"Height (cm, global adult females)",7,0.1350,0.9750,178.9000,cm,0.7846,24.15,163.58,0.9714,0.9750,0.12146,0.02,blue
Natural,Height,"Height (cm, global adult females)",8,0.0240,0.9990,191.1750,cm,0.8385,4.59,168.17,0.9986,0.9990,0.02364,0.02,blue
Natural,Height,"Height (cm, global adult females)",9,0.0010,1.0000,228.0000,cm,1.0000,0.23,168.40,1.0000,1.0000,0.00100,0.02,blue
Natural,IQ,IQ,1,0.0000,0.0000,20.0000,IQ,0.1111,0.00,0.00,0.0000,0.0000,0.00000,0.08,blue
Natural,IQ,IQ,2,0.0000,0.0000,40.0000,IQ,0.2222,0.00,0.00,0.0000,0.0000,0.00000,0.08,blue
Natural,IQ,IQ,3,0.0004,0.0004,50.0000,IQ,0.2778,0.02,0.02,0.0002,0.0004,0.00000,0.08,blue
Natural,IQ,IQ,4,0.0036,0.0040,60.0000,IQ,0.3333,0.22,0.24,0.0022,0.0040,0.00000,0.08,blue
Natural,IQ,IQ,5,0.0160,0.0200,70.0000,IQ,0.3889,1.12,1.36,0.0129,0.0200,0.00012,0.08,blue
Natural,IQ,IQ,6,0.0700,0.0900,80.0000,IQ,0.4444,5.60,6.96,0.0662,0.0900,0.00277,0.08,blue
Natural,IQ,IQ,7,0.1600,0.2500,90.0000,IQ,0.5000,14.40,21.36,0.2034,0.2500,0.02157,0.08,blue
Natural,IQ,IQ,8,0.2500,0.5000,100.0000,IQ,0.5556,25.00,46.36,0.4415,0.5000,0.08061,0.08,blue
Natural,IQ,IQ,9,0.2500,0.7500,110.0000,IQ,0.6111,27.50,73.86,0.7034,0.7500,0.14311,0.08,blue
Natural,IQ,IQ,10,0.1600,0.9100,120.0000,IQ,0.6667,19.20,93.06,0.8862,0.9100,0.12717,0.08,blue
Natural,IQ,IQ,11,0.0700,0.9800,130.0000,IQ,0.7222,9.10,102.16,0.9729,0.9800,0.06507,0.08,blue
Natural,IQ,IQ,12,0.0160,0.9960,140.0000,IQ,0.7778,2.24,104.40,0.9942,0.9960,0.01574,0.08,blue
Natural,IQ,IQ,13,0.0036,0.9996,150.0000,IQ,0.8333,0.54,104.94,0.9994,0.9996,0.00359,0.08,blue
Natural,IQ,IQ,14,0.0004,1.0000,160.0000,IQ,0.8889,0.06,104.99,0.9999,1.0000,0.00037,0.08,blue
Natural,IQ,IQ,15,0.0000,1.0000,180.0000,IQ,1.0000,0.01,105.00,1.0000,1.0000,0.00003,0.08,blue
Natural,Digit Memory,Number of Digits Memorized,1,0.0000,0.0000,0.0000,Num of Digits,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,2,0.0100,0.0100,1.0000,Num of Digits,0.0526,0.01,0.01,0.0013,0.0100,0.00001,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,3,0.0000,0.0100,2.0000,Num of Digits,0.1053,0.00,0.01,0.0013,0.0100,0.00000,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,4,0.0200,0.0300,3.0000,Num of Digits,0.1579,0.06,0.07,0.0091,0.0300,0.00010,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,5,0.0100,0.0400,4.0000,Num of Digits,0.2105,0.04,0.11,0.0142,0.0400,0.00012,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,6,0.0800,0.1200,5.0000,Num of Digits,0.2632,0.40,0.51,0.0661,0.1200,0.00321,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,7,0.1800,0.3000,6.0000,Num of Digits,0.3158,1.08,1.59,0.2060,0.3000,0.02448,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,8,0.2500,0.5500,7.0000,Num of Digits,0.3684,1.75,3.34,0.4326,0.5500,0.07983,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,9,0.1800,0.7300,8.0000,Num of Digits,0.4211,1.44,4.78,0.6192,0.7300,0.09466,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,10,0.1300,0.8600,9.0000,Num of Digits,0.4737,1.17,5.95,0.7707,0.8600,0.09034,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,11,0.0600,0.9200,10.0000,Num of Digits,0.5263,0.60,6.55,0.8484,0.9200,0.04858,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,12,0.0700,0.9900,14.0000,Num of Digits,0.7368,0.98,7.53,0.9754,0.9900,0.06383,0.17,blue
Natural,Digit Memory,Number of Digits Memorized,13,0.0100,1.0000,19.0000,Num of Digits,1.0000,0.19,7.72,1.0000,1.0000,0.00988,0.17,blue
Natural,Weight,"Weight (lbs, US adult males)",1,0.0000,0.0000,30.0000,lbs,0.0300,0.00,0.00,0.0000,0.0000,0.00000,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",2,0.0010,0.0010,109.3500,lbs,0.1094,0.11,0.11,0.0005,0.0010,0.00000,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",3,0.0490,0.0500,135.8000,lbs,0.1358,6.65,6.76,0.0324,0.0500,0.00081,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",4,0.0500,0.1000,145.3000,lbs,0.1453,7.27,14.03,0.0671,0.1000,0.00249,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",5,0.0500,0.1500,153.0000,lbs,0.1530,7.65,21.68,0.1037,0.1500,0.00427,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",6,0.0500,0.2000,158.5000,lbs,0.1585,7.93,29.60,0.1416,0.2000,0.00613,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",7,0.0500,0.2500,164.9000,lbs,0.1649,8.25,37.85,0.1810,0.2500,0.00807,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",8,0.0500,0.3000,170.2000,lbs,0.1702,8.51,46.36,0.2218,0.3000,0.01007,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",9,0.0500,0.3500,174.8000,lbs,0.1748,8.74,55.10,0.2636,0.3500,0.01213,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",10,0.0500,0.4000,179.4000,lbs,0.1794,8.97,64.07,0.3065,0.4000,0.01425,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",11,0.0500,0.4500,184.3000,lbs,0.1843,9.22,73.28,0.3506,0.4500,0.01643,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",12,0.0500,0.5000,189.4000,lbs,0.1894,9.47,82.75,0.3959,0.5000,0.01866,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",13,0.0500,0.5500,195.5000,lbs,0.1955,9.78,92.53,0.4426,0.5500,0.02096,0.16,blue
Natural,Weight,"Weight (lbs, US adult males)",14,0.0500,0.6000,201.1000,lbs,0.2011,10.06,102.58,0.4907,0.6000,0.02333,0.16,blue
